name,slug,region
kt Rolster,kt-rolster,LCK
Machi Esports,machi-esports,PCS
Team Secret,team-secret,VCS
Invictus Gaming,invictus-gaming,LPL
GAM Esports,gam-esports,VCS
SK Gaming,sk-gaming,LEC
Globant Emerald Team,globant-emerald-team,LLA
NongShim REDFORCE,nongshim-redforce,LCK
OKSavingsBank BRION,fredit-brion,LCK
AXIZ,axiz,LJL
Dignitas,dignitas,LCS
Dplus Kia,dwg-kia,LCK
Crest Gaming Act,crest-gaming-act,LJL
LOUD,loud,CBLOL
West Point Esports,sem9-wpe,PCS
Schalke 04 Esports,schalke-04,LEC
Team Heretics,team-heretics-lec,LEC
Miners,netshoes-miners,CBLOL
J Team,taipei-j-team,PCS
Sengoku Gaming,sengoku-gaming,LJL
FURIA,furia,CBLOL
Alpha Esports,alpha-esports,PCS
Rascal Jester,rascal-jester,LJL
Evil Geniuses LG,evil-geniuses,LCS
Hanwha Life Esports,hanwha-life-esports,LCK
TSM,tsm,LCS
Incubus,incubus,LLA
Royal Never Give Up,royal-never-give-up,LPL
CTBC Flying Oyster,ctbc-flying-oyster,PCS
EXCEL,excel,LEC
Hurricane Gaming,hurricane-gaming,PCS
100 Thieves,100-thieves,LCS
Suzhou LNG Esports,lng-esports,LPL
Bilibili Gaming Pingan Bank,bilibili-gaming,LPL
FENNEL,fennel,LJL
All Knights,all-knights,LLA
Vivo Keyd Stars,vivo-keyd,CBLOL
INFINITY,infinity,LLA
V3 Esports,v3-esports,LJL
WeiboGaming FAW AUDI,weibo-gaming,LPL
Dewish Team,dewish-team,PCS
Isurus,isurus,LLA
RED Kalunga,red-kalunga,CBLOL
Hell Pigs,hell-pigs,PCS
Burning Core,burning-core,LJL
Cloud9,cloud9,LCS
Azules Esports,azules-esports,LLA
Impunity Esports,impunity-esports,PCS
The Kings,the-kings,LLA
Astralis,astralis,LEC
FlyQuest,flyquest,LCS
Team Flash,team-flash,VCS
KaBuM! Esports,kabum-esports,CBLOL
SBTC ESPORTS,sbtc-esports,VCS
ahq eSports Club,ahq-esports-club,PCS
Golden Guardians,golden-guardians,LCS
DetonatioN FocusMe,detonation-focusme,LJL
CLG,clg,LCS
LXE ESPORTS,lxe-esports,VCS
MGN Box Esports,mgn-box-esports,VCS
Team Aze,team-aze,LLA
Estral Esports,estral-esports,LLA
Beyond Gaming,mega-bank-beyond-gaming,PCS
FLUXO,fluxo,CBLOL
Liyab Esports,liyab-esports,PCS
Six Karma,six-karma,LLA
BOOM Esports,boom-esports,PCS
Movistar R7,rainbow7,LLA
T1,t1,LCK
FunPlus Phoenix,funplus-phoenix,LPL
Gen.G,geng,LCK
Meta Falcon Team,meta-falcon-team,PCS
TOP ESPORTS,top-esports,LPL
Kwangdong Freecs,kwangdong-freecs,LCK
Furious Gaming,furious-gaming,LLA
DRX,drx,LCK
SHANGHAI EDWARD GAMING HYCAN,edward-gaming,LPL
Fukuoka SoftBank HAWKS gaming,fukuoka-softbank-hawks-gaming,LJL
Leviatán Esports,leviatan-esports,LLA
Hong Kong Attitude,hong-kong-attitude,PCS
PSG Talon,psg-talon,PCS
SEM9,sem9,PCS
XTEN Esports,xten-esports,LLA
G2 Esports,g2-esports,LEC
TEAM WHALES,team-whales,VCS
Kaos Latin Gamers,kaos-latin-gamers,LLA
Team Vitality,team-vitality,LEC
Team BDS,team-bds,LEC
Misfits Gaming,misfits-gaming,LEC
Liberty,liberty,CBLOL
SeolHaeOne Prince,apk-prince,LCK
CERBERUS ESPORTS,cerberus-esports,VCS
Fnatic,fnatic,LEC
MAD Lions,mad-lions,LEC
Saigon Buffalo Esports,saigon-buffalo-esports,VCS
BTS ESPORTS,bts-esports,VCS
KOI,rogue,LEC
Beijing JDG Intel Esports Club,jd-gaming,LPL
RENSGA,rensga,CBLOL
Los Grandes,los-grandes,CBLOL
Team Liquid Honda,team-liquid,LCS
INTZ,intz,CBLOL
paiN Gaming,pain-gaming,CBLOL
Deep Cross Gaming,deep-cross-gaming,PCS
Flamengo ,flamengo-esports,CBLOL
LGD GAMING,lgd-gaming,LPL
NRG,nrg-esports,LCS
Liiv SANDBOX,liiv-sandbox,LCK
Immortals Progressive,immortals-progressive,LCS
Frank Esports,frank-esports,PCS
victory-five,Victory Five,LPL
anyones-legend,Anyone's Legend,LPL
ninjas-in-pyjamas,Ninjas in Pyjamas,LPL
oh-my-god,Oh My God,LPL
ultra-prime,Ultra Prme,LPL
ninjas-in-pyjamas,Ninjas in Pyjamas,LPL
rare-atom,Rare Atom,LPL
oh-my-god,Oh My God,LPL
team-we,Team WE ,LPL
