"tournament_slug","tournament_id","name","region"
"nacl_qualifiers_1_summer_2023","110428603624764603","Froggy Five","LCS Challengers Qualifiers"
"cblol_academy_split_1_2022","107565607659994755","KaBuM! Academy","CBLOL Academy"
"cblol_academy_split_1_2022","107565607659994755","FURIA Academy","CBLOL Academy"
"superliga_spring_2022","107468241207873310","FnaticTQ","SuperLiga"
"lec_summer_2021","106269680921022418","G2 Esports","LEC"
"prime_league_spring_2021","105562556573338448","GamerLegion","Prime League"
"european_masters_summer_2021_play_ins","106744065768553123","Team Phantasma","Greek Legends League"
"ljl_academy_2023","110507407705819578","CGA  Academy","LJL Academy"
"lck_summer_2022","108195478954601542","kt Rolster","LCK"
"pcs_spring_2023","109704924270305512","Impunity Esports","PCS"
"pcs_spring_2023","109704924270305512","Frank Esports","PCS"
"lfl_spring_2023","109467129925344897","Vitality.Bee","La Ligue Française"
"ljl_summer_2022","108231751506773283","Rascal Jester","LJL"
"ljl_summer_2022","108231751506773283","DetonatioN FocusMe","LJL"
"lco_split_1_2022","107439320897210747","Kanga Esports","LCO"
"liga_portuguesa_summer_2021","106311748110571694","OFFSET Esports","Liga Portuguesa"
"lck_challengers_summer_2022","108211175216687366","kt Challengers","LCK Challengers"
"pcs_summer_2021","106269875362449980","Machi Esports","PCS"
"tcl_winter_2021","105562822074055437","Info Yatırım Aurora","TCL"
"lla_opening_2021","105551618304300204","XTEN Esports","LLA"
"lla_opening_2021","105551618304300204","All Knights","LLA"
"prime_league_summer_2021","106305935741165084","Berlin International Gaming","Prime League"
"liga_portuguesa_summer_2022","108171576055718204","FTW Esports","Liga Portuguesa"
"ljl_spring_2020","103540397353089204","AXIZ","LJL"
"lla_closing_2021","106269744788213905","INFINITY","LLA"
"lla_closing_2021","106269744788213905","Kaos Latin Gamers","LLA"
"ljl_academy_2022","108216929091956060","BC Academy","LJL Academy"
"lcs_summer_2020","104174992692075107","TSM","LCS"
"lcs_spring_2020","103462439438682788","Immortals Progressive","LCS"
"greek_legends_league_spring_2021","105522904800920947","WLGaming Esports","Greek Legends League"
"emea_masters_summer_2023","110535609415063567","KRC Genk Esports","Elite Series"
"arabian_league_spring_2023","109545777182748074","Triple Esports","Arabian League"
"lck_summer_2023","110371551277508787","DRX","LCK"
"worlds_2021","106926282333089592","Cloud9","LCS"
"pcs_summer_2023","110423696147088301","J Team","PCS"
"lck_spring_2022","107418445247362001","T1","LCK"
"lec_spring_2021","105522958532258735","SK Gaming","LEC"
"pg_nationals_summer_2022","108166853206827117","Macko Esports","PG Nationals"
"lcs_spring_2020","103462439438682788","CLG","LCS"
"nlc_spring_2022","107417432877679361","Nyyrikki","NLC"
"elite_series_spring_2023","109467335886224883","Northern Lions Esports","Elite Series"
"lck_challengers_summer_2022","108211175216687366","BRO Challengers","LCK Challengers"
"lfl_summer_2023","110424922266960422","IZIDREAM","La Ligue Française"
"lfl_spring_2023","109467129925344897","Team BDS Academy","La Ligue Française"
"liga_portuguesa_summer_2021","106311748110571694","Karma Clan Esports","Liga Portuguesa"
"cblol_academy_2023_split_1","109523665497010762","RED Academy","CBLOL Academy"
"hitpoint_masters_summer_2022","108155621258059329","BRUTE","Hitpoint Masters"
"european_masters_spring_2022_main_event","107893386210553711","Crvena Zvezda Esports","Esports Balkan League"
"cblol_academy_2023_split_1","109523665497010762","Liberty Academy","CBLOL Academy"
"cblol_2023_split_2","110413046183015975","RED Kalunga","CBLOL"
"lck_summer_2023","110371551277508787","Dplus Kia","LCK"
"lck_summer_2020","104174613295388764","NongShim REDFORCE","LCK"
"lck_2020_split1","103540363364808496","kt Rolster","LCK"
"greek_legends_league_summer_2022","108171529103782009","Team Refuse","Greek Legends League"
"greek_legends_league_spring_2021","105522904800920947","Anorthosis Famagusta Esports","Greek Legends League"
"superliga_spring_2021","105562529622379161","BCN Squad","SuperLiga"
"msi_2022","107905284983470149","Royal Never Give Up","LPL"
"lck_spring_2023","109625152894842837","Liiv SANDBOX","LCK"
"lck_summer_2020","104174613295388764","Liiv SANDBOX","LCK"
"lco_split_1_2023","109675619694467439","Team Bliss","LCO"
"cblol_split_1_2021","105539760572983266","INTZ","CBLOL"
"tcl_summer_2023","110429898578299667","GALAKTICOS","TCL"
"liga_portuguesa_summer_2023","110425027634430773","Boavista F.C","Liga Portuguesa"
"pcs_spring_2022","107693721179065689","J Team","PCS"
"european_masters_summer_2021_play_ins","106744065768553123","Movistar Riders","SuperLiga"
"lec_spring_2020","103462459318635408","SK Gaming","LEC"
"lec_spring_2020","103462459318635408","Fnatic","LEC"
"liga_portuguesa_summer_2021","106311748110571694","Boavista F.C","Liga Portuguesa"
"cblol_academy_split_1_2021","105562692792011783","Flamengo Academy","CBLOL Academy"
"nacl_spring_2023","109518697660746274","Wildcard","LCS Challengers"
"lck_challengers_spring_2021","105562431502825774","HLE Challengers","LCK Challengers"
"ljl_spring_2020","103540397353089204","Burning Core","LJL"
"lec_summer_2021","106269680921022418","EXCEL","LEC"
"lla_closing_2021","106269744788213905","All Knights","LLA"
"lla-closing-2020","104237136838348356","INFINITY","LLA"
"liga_portuguesa_summer_2022","108171576055718204","Odivelas Sports Club","Liga Portuguesa"
"pcs_summer_2022","108166997301178190","CTBC Flying Oyster","PCS"
"elite_series_summer_2022","108172713549542364","The Agency","Elite Series"
"prime_league_spring_2022","107417741193036913","Berlin International Gaming","Prime League"
"liga_portuguesa_spring_2022","107417530552861626","OFFSET Esports","Liga Portuguesa"
"cblol_split_2_2021","106297375705058741","RED Kalunga","CBLOL"
"elite_series_spring_2023","109467335886224883","mCon esports","Elite Series"
"pcs_summer_2021","106269875362449980","BOOM Esports","PCS"
"pcs_summer_2021","106269875362449980","PSG Talon","PCS"
"nlc_spring_2023","109467209705050129","Nativz","NLC"
"prime_league_summer_2022","108158210393938046","Berlin International Gaming","Prime League"
"lcs_summer_2020","104174992692075107","FlyQuest","LCS"
"worlds_2020","104841804583318464","MAD Lions","LEC"
"superliga_spring_2023","109467087406180264","FnaticTQ","SuperLiga"
